"ip","city","region","country","isp","page","referrer","timestamp","userAgent","user_agent","created_at"
"3.235.157.198","Ashburn","Virginia","United States","AMAZON-AES","/","https://safesapcrtx.org/?utm_source=media_outreach&utm_medium=email&utm_campaign=jan2026_launch","2026-01-05T17:27:47.087Z","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36","2026-01-05T17:27:47.181Z"
"3.239.174.27","Ashburn","Virginia","United States","AMAZON-AES","/","https://safesapcrtx.org/?utm_source=media_outreach&utm_medium=email&utm_campaign=jan2026_launch","2026-01-05T17:27:29.241Z","Mozilla/5.0 (iPhone; CPU iPhone OS 12_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148","Mozilla/5.0 (iPhone; CPU iPhone OS 12_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148","2026-01-05T17:27:29.305Z"
"199.120.14.88","Houston","Texas","United States","M247 Europe SRL","/","https://safesapcrtx.org/?utm_source=media_outreach&utm_medium=email&utm_campaign=jan2026_launch","2026-01-05T17:26:33.722Z","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36","2026-01-05T17:26:33.862Z"
"34.174.1.125","Dallas","Texas","United States","GOOGLE-CLOUD-PLATFORM","/","https://safesapcrtx.org/?utm_source=media_outreach&utm_medium=email&utm_campaign=jan2026_launch","2026-01-05T17:18:12.831Z","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36","2026-01-05T17:18:12.928Z"
"97.178.48.27","Houston","Texas","United States","CELLCO-PART","/","https://safesapcrtx.org/","2026-01-05T17:16:40.800Z","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36","2026-01-05T17:16:41.392Z"
"198.154.115.222","Boulder","Colorado","United States","ZC38-AS1","/","https://695bed0d562490243706fb01--safesapcr.netlify.app/","2026-01-05T16:56:13.920Z","Mozilla/5.0 (Linux; Android 7.0; Moto G (4)) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4695.0 Mobile Safari/537.36 Chrome-Lighthouse","Mozilla/5.0 (Linux; Android 7.0; Moto G (4)) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4695.0 Mobile Safari/537.36 Chrome-Lighthouse","2026-01-05T16:56:14.043Z"
"50.207.54.122","Frederick","Maryland","United States","COMCAST-7922","/","https://safesapcrtx.org/?utm_source=media_outreach&utm_medium=email&utm_campaign=jan2026_launch","2026-01-05T16:41:17.012Z","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36 Edg/143.0.0.0","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36 Edg/143.0.0.0","2026-01-05T16:41:16.808Z"
"136.226.84.95","Chicago","Illinois","United States","ZSCALER-SJC1","/","https://safesapcrtx.org/","2026-01-05T16:36:15.362Z","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36","2026-01-05T16:36:15.641Z"
"2605:a601:a0b4:8c00:6940:459e:195f:db83","Austin","Texas","United States","GOOGLE-FIBER","/","https://safesapcrtx.org/","2026-01-05T16:29:08.105Z","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36","2026-01-05T16:29:06.964Z"
"54.89.29.79","Ashburn","Virginia","United States","AMAZON-AES","/","https://safesapcrtx.org/?utm_source=media_outreach&utm_medium=email&utm_campaign=jan2026_launch","2026-01-05T16:27:54.247Z","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36","2026-01-05T16:27:54.337Z"
"205.169.39.139","Colorado Springs","Colorado","United States","LEVEL3","/","https://safesapcrtx.org/?utm_source=media_outreach&utm_medium=email&utm_campaign=jan2026_launch),","2026-01-05T16:26:22.405Z","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.79 Safari/537.36","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.79 Safari/537.36","2026-01-05T16:26:22.898Z"
"205.169.39.51","Colorado Springs","Colorado","United States","LEVEL3","/","https://safesapcrtx.org/?utm_source=media_outreach&utm_medium=email&utm_campaign=jan2026_launch),","2026-01-05T16:24:55.262Z","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/117.0.5938.132 Safari/537.36","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/117.0.5938.132 Safari/537.36","2026-01-05T16:24:55.373Z"
"34.11.106.245","Washington","Washington, D.C.","United States","GOOGLE-CLOUD-PLATFORM","/","https://safesapcrtx.org/?utm_source=media_outreach&utm_medium=email&utm_campaign=jan2026_launch","2026-01-05T16:24:46.434Z","Mozilla/5.0 (iPhone; CPU iPhone OS 17_4_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.4.1 Mobile/15E148 Safari/604.1","Mozilla/5.0 (iPhone; CPU iPhone OS 17_4_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.4.1 Mobile/15E148 Safari/604.1","2026-01-05T16:24:46.490Z"
"72.152.84.37","Des Moines","Iowa","United States","MICROSOFT-CORP-MSN-AS-BLOCK","/","https://safesapcrtx.org/?utm_source=zfevb_bhgefbdu&utm_medium=email&utm_campaign=wba5359_ybhadu","2026-01-05T16:22:25.617Z","Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Mobile Safari/537.36","Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Mobile Safari/537.36","2026-01-05T16:22:25.996Z"
"72.153.153.18","San Jose","California","United States","MICROSOFT-CORP-MSN-AS-BLOCK","/","https://safesapcrtx.org/?utm_source=zfevb_bhgefbdu&utm_medium=email&utm_campaign=wba5359_ybhadu","2026-01-05T16:21:46.280Z","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.7444.163 Safari/537.36","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.7444.163 Safari/537.36","2026-01-05T16:21:46.664Z"
"198.154.115.222","Boulder","Colorado","United States","ZC38-AS1","/","https://695be49879426619091e9be3--safesapcr.netlify.app/","2026-01-05T16:19:59.365Z","Mozilla/5.0 (Linux; Android 7.0; Moto G (4)) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4695.0 Mobile Safari/537.36 Chrome-Lighthouse","Mozilla/5.0 (Linux; Android 7.0; Moto G (4)) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4695.0 Mobile Safari/537.36 Chrome-Lighthouse","2026-01-05T16:19:59.475Z"
"198.154.115.222","Boulder","Colorado","United States","ZC38-AS1","/","https://695be40bba8ac7fd89bda56e--safesapcr.netlify.app/","2026-01-05T16:17:47.490Z","Mozilla/5.0 (Linux; Android 7.0; Moto G (4)) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4695.0 Mobile Safari/537.36 Chrome-Lighthouse","Mozilla/5.0 (Linux; Android 7.0; Moto G (4)) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4695.0 Mobile Safari/537.36 Chrome-Lighthouse","2026-01-05T16:17:47.651Z"
"2a04:4e41:3ec8:804b::cc8:804b","Birmingham","Alabama","United States","FASTLY","/","https://safesapcrtx.org/?utm_source=media_outreach&utm_medium=email&utm_campaign=jan2026_launch","2026-01-05T16:13:41.555Z","Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.6 Mobile/15E148 Safari/604.1","Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.6 Mobile/15E148 Safari/604.1","2026-01-05T16:13:41.674Z"
"198.154.115.222","Boulder","Colorado","United States","ZC38-AS1","/","https://695be25c2932d0ec247b70f6--safesapcr.netlify.app/","2026-01-05T16:10:25.909Z","Mozilla/5.0 (Linux; Android 7.0; Moto G (4)) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4695.0 Mobile Safari/537.36 Chrome-Lighthouse","Mozilla/5.0 (Linux; Android 7.0; Moto G (4)) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4695.0 Mobile Safari/537.36 Chrome-Lighthouse","2026-01-05T16:10:26.013Z"
"63.117.14.135","Queens","New York","United States","UUNET","/","https://safesapcrtx.org/?utm_source=media_outreach&utm_medium=email&utm_campaign=jan2026_launch","2026-01-05T16:09:21.880Z","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36","2026-01-05T16:09:22.009Z"
"64.61.247.2","Minneapolis","Minnesota","United States","ENVENTIS","/","https://safesapcrtx.org/?utm_source=media_outreach&utm_medium=email&utm_campaign=jan2026_launch","2026-01-05T16:09:10.342Z","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36","2026-01-05T16:09:10.426Z"
"2600:1700:1d1:76f0:9897:6127:16e9:f57f","Pflugerville","Texas","United States","ATT-INTERNET4","/","https://safesapcrtx.org/","2026-01-05T16:08:45.057Z","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36","2026-01-05T16:08:45.144Z"
"198.154.115.222","Boulder","Colorado","United States","ZC38-AS1","/","https://695be1de7109ebeccccf6981--safesapcr.netlify.app/","2026-01-05T16:08:16.115Z","Mozilla/5.0 (Linux; Android 7.0; Moto G (4)) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4695.0 Mobile Safari/537.36 Chrome-Lighthouse","Mozilla/5.0 (Linux; Android 7.0; Moto G (4)) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4695.0 Mobile Safari/537.36 Chrome-Lighthouse","2026-01-05T16:08:16.248Z"
"72.153.153.38","San Jose","California","United States","MICROSOFT-CORP-MSN-AS-BLOCK","/","https://safesapcrtx.org/","2026-01-05T16:04:14.225Z","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.7444.162 Safari/537.36","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.7444.162 Safari/537.36","2026-01-05T16:04:14.449Z"
"198.154.115.222","Boulder","Colorado","United States","ZC38-AS1","/","https://695be04c7eb47f525397471e--safesapcr.netlify.app/","2026-01-05T16:01:45.939Z","Mozilla/5.0 (Linux; Android 7.0; Moto G (4)) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4695.0 Mobile Safari/537.36 Chrome-Lighthouse","Mozilla/5.0 (Linux; Android 7.0; Moto G (4)) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4695.0 Mobile Safari/537.36 Chrome-Lighthouse","2026-01-05T16:01:46.059Z"
"72.153.231.19","San Jose","California","United States","MICROSOFT-CORP-MSN-AS-BLOCK","/","https://safesapcrtx.org/?utm_source=zfevb_bhgefbdu&utm_medium=email&utm_campaign=wba5359_ybhadu","2026-01-05T15:58:10.041Z","Mozilla/5.0 (Linux; Android 9; itel A27) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.6943.143 Mobile Safari/537.36","Mozilla/5.0 (Linux; Android 9; itel A27) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.6943.143 Mobile Safari/537.36","2026-01-05T15:58:10.354Z"
"54.152.180.114","Ashburn","Virginia","United States","AMAZON-AES","/","https://safesapcrtx.org/?utm_source=media_outreach&utm_medium=email&utm_campaign=jan2026_launch","2026-01-05T15:50:54.668Z","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36","2026-01-05T15:50:54.724Z"
"2a02:26f7:c344:8011:0:800:0:1","Sacramento","California","United States","FASTLY","/","https://safesapcrtx.org/?utm_source=media_outreach&utm_medium=email&utm_campaign=jan2026_launch","2026-01-05T15:47:38.856Z","Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.6 Mobile/15E148 Safari/604.1","Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.6 Mobile/15E148 Safari/604.1","2026-01-05T15:47:39.341Z"
"198.154.115.222","Boulder","Colorado","United States","ZC38-AS1","/","https://695bdd00e61b2deb44cde429--safesapcr.netlify.app/","2026-01-05T15:47:35.117Z","Mozilla/5.0 (Linux; Android 7.0; Moto G (4)) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4695.0 Mobile Safari/537.36 Chrome-Lighthouse","Mozilla/5.0 (Linux; Android 7.0; Moto G (4)) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4695.0 Mobile Safari/537.36 Chrome-Lighthouse","2026-01-05T15:47:35.204Z"
"205.169.39.45","Colorado Springs","Colorado","United States","LEVEL3","/","https://safesapcrtx.org/","2026-01-05T15:45:38.907Z","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/117.0.5938.132 Safari/537.36","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/117.0.5938.132 Safari/537.36","2026-01-05T15:45:39.148Z"
"198.154.115.222","Boulder","Colorado","United States","ZC38-AS1","/","https://695bdbc07109ebd75ccf6984--safesapcr.netlify.app/","2026-01-05T15:42:20.364Z","Mozilla/5.0 (Linux; Android 7.0; Moto G (4)) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4695.0 Mobile Safari/537.36 Chrome-Lighthouse","Mozilla/5.0 (Linux; Android 7.0; Moto G (4)) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4695.0 Mobile Safari/537.36 Chrome-Lighthouse","2026-01-05T15:42:20.471Z"
"54.237.45.118","Ashburn","Virginia","United States","AMAZON-AES","/","https://safesapcrtx.org/","2026-01-05T15:41:23.973Z","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36","2026-01-05T15:41:24.047Z"
"44.204.210.228","Ashburn","Virginia","United States","AMAZON-AES","/","https://safesapcrtx.org/","2026-01-05T15:41:07.795Z","Mozilla/5.0 (iPhone; CPU iPhone OS 12_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148","Mozilla/5.0 (iPhone; CPU iPhone OS 12_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148","2026-01-05T15:41:07.843Z"
"205.169.39.184","Colorado Springs","Colorado","United States","LEVEL3","/","https://safesapcrtx.org/","2026-01-05T15:34:11.510Z","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.79 Safari/537.36","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.79 Safari/537.36","2026-01-05T15:34:11.675Z"
"198.154.115.222","Boulder","Colorado","United States","ZC38-AS1","/","https://695bd8e81d1643e507970561--safesapcr.netlify.app/","2026-01-05T15:30:18.952Z","Mozilla/5.0 (Linux; Android 7.0; Moto G (4)) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4695.0 Mobile Safari/537.36 Chrome-Lighthouse","Mozilla/5.0 (Linux; Android 7.0; Moto G (4)) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4695.0 Mobile Safari/537.36 Chrome-Lighthouse","2026-01-05T15:30:19.128Z"
"198.154.115.222","Boulder","Colorado","United States","ZC38-AS1","/","https://safesapcrtx.org/","2026-01-05T15:24:49.052Z","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36","2026-01-05T15:24:49.159Z"
"146.112.163.55","Reston","Virginia","United States","CISCO-UMBRELLA","/","https://safesapcrtx.org/?utm_source=media_outreach&utm_medium=email&utm_campaign=jan2026_launch","2026-01-05T15:12:53.892Z","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36","2026-01-05T15:12:53.968Z"
"107.21.144.127","Ashburn","Virginia","United States","AMAZON-AES","/","https://safesapcrtx.org/?utm_source=media_outreach&utm_medium=email&utm_campaign=jan2026_launch","2026-01-05T15:06:17.363Z","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36","2026-01-05T15:06:17.427Z"
"72.36.125.228","New York City","New York","United States","UI-ICCN","/","https://safesapcrtx.org/?utm_source=media_outreach&utm_medium=email&utm_campaign=jan2026_launch","2026-01-05T14:55:45.757Z","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36","2026-01-05T14:55:45.954Z"
"72.145.83.71","Dublin","Leinster","Ireland","MICROSOFT-CORP-MSN-AS-BLOCK","/","https://safesapcrtx.org/","2026-01-05T14:40:19.273Z","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.7444.163 Safari/537.36","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.7444.163 Safari/537.36","2026-01-05T14:40:19.444Z"
"72.145.83.70","Dublin","Leinster","Ireland","MICROSOFT-CORP-MSN-AS-BLOCK","/","https://safesapcrtx.org/","2026-01-05T14:40:01.495Z","Mozilla/5.0 (Linux; Android 9; itel A27) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.6943.143 Mobile Safari/537.36","Mozilla/5.0 (Linux; Android 9; itel A27) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.6943.143 Mobile Safari/537.36","2026-01-05T14:40:01.666Z"
"97.178.48.27","Houston","Texas","United States","CELLCO-PART","/","https://695bca3ae8b9d7afa3333e76--safesapcr.netlify.app/","2026-01-05T14:27:27.064Z","Mozilla/5.0 (Linux; Android 7.0; Moto G (4)) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4695.0 Mobile Safari/537.36 Chrome-Lighthouse","Mozilla/5.0 (Linux; Android 7.0; Moto G (4)) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4695.0 Mobile Safari/537.36 Chrome-Lighthouse","2026-01-05T14:27:28.237Z"
"3.250.215.104","Dublin","Leinster","Ireland","AMAZON-02","/","https://safesapcrtx.org/","2026-01-05T14:17:45.007Z","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36","2026-01-05T14:17:45.101Z"
"72.153.231.20","San Jose","California","United States","MICROSOFT-CORP-MSN-AS-BLOCK","/","https://safesapcrtx.org/","2026-01-05T14:10:28.176Z","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.7390.0 Safari/537.36","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.7390.0 Safari/537.36","2026-01-05T14:10:28.309Z"
"98.95.35.234","Ashburn","Virginia","United States","AMAZON-AES","/","https://safesapcrtx.org/","2026-01-05T14:06:19.528Z","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36 Edg/122.0.0.0","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36 Edg/122.0.0.0","2026-01-05T14:06:19.578Z"
"50.237.51.5","Sugar Land","Texas","United States","KPRC","/","https://safesapcrtx.org/","2026-01-05T14:05:59.964Z","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36 Edg/122.0.0.0","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36 Edg/122.0.0.0","2026-01-05T14:06:00.144Z"
"97.178.48.27","Houston","Texas","United States","CELLCO-PART","/","https://695bc3c9c793d899c0a09c8b--safesapcr.netlify.app/","2026-01-05T13:59:58.034Z","Mozilla/5.0 (Linux; Android 7.0; Moto G (4)) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4695.0 Mobile Safari/537.36 Chrome-Lighthouse","Mozilla/5.0 (Linux; Android 7.0; Moto G (4)) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4695.0 Mobile Safari/537.36 Chrome-Lighthouse","2026-01-05T13:59:59.192Z"
"97.178.48.27","Houston","Texas","United States","CELLCO-PART","/","https://695bc2a68870fd1970a4e8ca--safesapcr.netlify.app/","2026-01-05T13:54:59.239Z","Mozilla/5.0 (Linux; Android 7.0; Moto G (4)) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4695.0 Mobile Safari/537.36 Chrome-Lighthouse","Mozilla/5.0 (Linux; Android 7.0; Moto G (4)) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4695.0 Mobile Safari/537.36 Chrome-Lighthouse","2026-01-05T13:55:00.397Z"
"63.117.215.10","Queens","New York","United States","UUNET","/","https://safesapcrtx.org/","2026-01-05T13:51:02.945Z","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36","2026-01-05T13:51:03.124Z"
"173.44.117.69","Pontotoc","Mississippi","United States","MAXXSOUTH-BROADBAND","/","https://safesapcrtx.org/","2026-01-05T13:50:52.146Z","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36","2026-01-05T13:50:52.382Z"
"97.178.48.27","Houston","Texas","United States","CELLCO-PART","/","https://695bc19e2dd0418e58b0f6cf--safesapcr.netlify.app/","2026-01-05T13:50:34.533Z","Mozilla/5.0 (Linux; Android 7.0; Moto G (4)) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4695.0 Mobile Safari/537.36 Chrome-Lighthouse","Mozilla/5.0 (Linux; Android 7.0; Moto G (4)) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4695.0 Mobile Safari/537.36 Chrome-Lighthouse","2026-01-05T13:50:35.652Z"
"97.178.48.27","Houston","Texas","United States","CELLCO-PART","/","https://695bc0a8aead7f81b4929b83--safesapcr.netlify.app/","2026-01-05T13:46:37.571Z","Mozilla/5.0 (Linux; Android 7.0; Moto G (4)) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4695.0 Mobile Safari/537.36 Chrome-Lighthouse","Mozilla/5.0 (Linux; Android 7.0; Moto G (4)) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4695.0 Mobile Safari/537.36 Chrome-Lighthouse","2026-01-05T13:46:38.699Z"
"97.178.48.27","Houston","Texas","United States","CELLCO-PART","/","https://safesapcrtx.org/","2026-01-05T13:41:13.673Z","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36","2026-01-05T13:41:14.818Z"
